// NgramTextClassifier created this file from 3538118 characters.
Classification	Spam
Total	3538118
11609	12	18.1696
11610	6	19.1696
11611	7	18.9472
11614	4	19.7546
11615	18	17.5846
11617	497	12.7974
11618	307	13.4925
11619	208	14.0541
11620	567	12.6073
11621	192	14.1696
11622	386	13.1621
11623	27	16.9997
11624	19	17.5066
11625	235	13.878
11626	21	17.3622
11627	16	17.7546
11628	225	13.9408
11629	607	12.509
11630	30	16.8477
11631	142	14.6048
11632	312	13.4691
11633	22	17.2951
11634	217	13.993
11635	1162	11.5722
11636	345	13.3241
11637	70	15.6253
11638	16	17.7546
11639	114	14.9217
11640	61	15.8238
11641	47	16.2
11642	22	17.2951
11668	2	20.7546
11680	151	14.5161
11714	16	17.7546
11785	18	17.5846
11786	1732	10.9963
11808	4493	9.62109
11809	2	20.7546
11810	105	15.0403
11811	8	18.7546
11812	16	17.7546
11813	2	20.7546
11814	69	15.646
11815	3	20.1696
11816	4	19.7546
11817	33	16.7102
11818	14	17.9472
11819	1	21.7546
11820	23	17.231
11821	6	19.1696
11822	1500	11.2038
11823	8	18.7546
11824	3630	9.9288
11825	4380	9.65784
11826	2179	10.6651
11827	1060	11.7047
11828	360	13.2627
11829	563	12.6176
11830	1062	11.702
11831	362	13.2547
11832	241	13.8417
11833	1451	11.2517
11834	1	21.7546
11836	763	12.179
11837	37	16.5451
11838	4	19.7546
11839	1	21.7546
11840	2	20.7546
11841	137	14.6565
11842	61	15.8238
11843	269	13.6831
11844	63	15.7773
11845	63	15.7773
11846	111	14.9601
11847	7	18.9472
11848	24	17.1696
11849	119	14.8597
11850	28	16.9472
11851	9	18.5846
11852	11	18.2951
11853	50	16.1107
11854	26	17.0541
11855	83	15.3795
11856	21	17.3622
11857	7	18.9472
11858	54	15.9997
11859	148	14.5451
11860	210	14.0403
11861	11	18.2951
11862	17	17.6671
11863	18	17.5846
11864	4	19.7546
11865	22	17.2951
11866	3	20.1696
11873	784	12.1398
11874	210	14.0403
11875	6415	9.10732
11876	293	13.5598
11877	945	11.8704
11878	399	13.1143
11879	970	11.8327
11880	508	12.7659
11881	1176	11.5549
11882	707	12.289
11883	96	15.1696
11884	630	12.4553
11885	316	13.4508
11886	2380	10.5378
11887	2285	10.5966
11888	333	13.3752
11889	78	15.4691
11890	157	14.4599
11891	1132	11.6099
11892	658	12.3926
11893	562	12.6201
11894	72	15.5846
11895	423	13.03
11896	6	19.1696
11897	102	15.0821
11898	62	15.8004
11899	1	21.7546
11952	4	19.7546
11962	2	20.7546
11968	2	20.7546
11969	2	20.7546
11974	4	19.7546
11981	1	21.7546
12000	1	21.7546
12042	277	13.6408
12064	124	14.8004
12066	124	14.8004
12067	2	20.7546
12068	29	16.8966
12069	9	18.5846
12070	2	20.7546
12071	5	19.4326
12073	29	16.8966
12074	11	18.2951
12075	135	14.6777
12077	7	18.9472
12078	2	20.7546
12079	3667	9.91417
12080	303	13.5114
12081	375	13.2038
12082	484	12.8357
12083	197	14.1325
12084	215	14.0064
12085	176	14.2951
12086	313	13.4645
12087	126	14.7773
12088	1088	11.6671
12089	293	13.5598
12092	13	18.0541
12093	26	17.0541
12094	82	15.397
12095	78	15.4691
12097	993	11.7989
12098	447	12.9504
12099	199	14.1179
12100	287	13.5896
12101	219	13.9798
12102	1086	11.6697
12103	101	15.0963
12104	335	13.3665
12105	282	13.615
12106	162	14.4147
12107	171	14.3367
12108	105	15.0403
12109	177	14.2869
12110	192	14.1696
12111	240	13.8477
12112	556	12.6356
12113	150	14.5257
12114	238	13.8597
12115	620	12.4784
12116	1869	10.8865
12117	204	14.0821
12118	175	14.3033
12119	173	14.3199
12120	139	14.6356
12121	126	14.7773
12122	136	14.6671
12124	8	18.7546
12127	29	16.8966
12129	1345	11.3612
12130	2040	10.7602
12131	729	12.2448
12132	503	12.7801
12133	287	13.5896
12134	3814	9.85746
12135	238	13.8597
12136	920	11.9091
12137	1557	11.15
12138	120	14.8477
12139	140	14.6253
12140	621	12.4761
12141	705	12.2931
12142	323	13.4192
12143	635	12.4439
12144	1395	11.3085
12145	245	13.8179
12146	473	12.8689
12147	1023	11.756
12148	4130	9.74262
12149	364	13.2468
12150	208	14.0541
12151	2304	10.5846
12152	145	14.5746
12153	130	14.7322
12154	154	14.4878
12158	5	19.4326
12192	2	20.7546
12194	1	21.7546
12196	5	19.4326
12201	6	19.1696
12212	2	20.7546
12214	1	21.7546
12225	2	20.7546
12247	1	21.7546
12297	15	17.8477
12298	4182	9.72457
12315	6	19.1696
12320	3943	9.80947
12321	5	19.4326
12322	2927	10.2393
12324	77	15.4878
12325	1092	11.6618
12326	11	18.2951
12327	14	17.9472
12328	1	21.7546
12329	533	12.6966
12330	2	20.7546
12331	220	13.9732
12332	483	12.8387
12333	356	13.2788
12334	3652	9.92008
12335	270	13.6777
12336	19924	7.47233
12337	3143	10.1366
12338	5476	9.33564
